philosophy,247,Introduction to Chinese Philosophy,"b""rder? What is the shape of a life well lived? This  class examines such questions in the context of the classical period in Chinese  philosophy, focusing on (1) Kongzi (Confucius), (2) Mozi, (3) Mengzi (Mencius),  (4) Zhuangzi, and (5) Xunzi. A primary goal of the course is to expose students  to the richness, vitality, and plurality of the philosophical scene in ancient  China. Topics discussed include moral virtue, music, education, and the ethics  of war. This course fulfills a single unit in each of the following BU Hub  areas: Philosophical Inquiry and Life's Meanings, Global Citizenship and  Intercultural Literacy, Critical Thinking."""
philosophy,248,Existentialism,"b""roblematic aspects of the human condition. This course fulfills a single unit in  each of the following BU Hub areas: Philosophical Inquiry and Life's Meanings,  Ethical Reasoning, Critical Thinking."""
philosophy,251,Medical Ethics,"b""emerging biotechnologies. It will examine topics such as the right to  healthcare, research on human subjects, euthanasia, abortion, cloning, genetic  selection, disabilities, and the biomedical enhancement of human capacities.  Students can expect to gain not only training in the concepts and methods of  moral philosophy and the logic of argumentation, but also the resources needed  for assessing ethically difficult questions that healthcare professionals  routinely face. Carries humanities divisional credit in CAS. This course  fulfills a single unit in each of the following BU Hub areas: Philosophical  Inquiry and Life's Meanings, Ethical Reasoning, Critical Thinking."""
philosophy,253,Social Philosophy,"b'ing Rousseau, Marx,  Weber, and a number of contemporary writers. Carries humanities divisional credit in CAS.'"
philosophy,255,"Law, Philosophy, and Society","b'cy, the   nature of constitutional rights, and legal (especially constitutional) interpretation. Readings include social   theory and judicial opinions as well as more narrowly philosophical sources.'"
philosophy,256,Philosophy of Gender and Sexuality,"b""hat is oppression? What is the relationship between  sexism and other forms of oppression? What is the correct response to sexism  and oppression? How many sexes are there? How many genders? What is sexual  orientation? What is sexual perversion? What are sexual ethics, including  questions about the value and status of monogamy, polyamory, promiscuity, and  adultery? What is the moral status of practices such as sex work and  pornography? This course fulfills a single unit in each of the following BU Hub  areas: Philosophical Inquiry and Life's Meanings, Individual in Community,  Critical Thinking."""
philosophy,259,Philosophy of the Arts,"b'architecture,  film, drama) relate to our aesthetic experience of the world? Explores several philosophical theories of art  through specific examples of artwork. Carries humanities divisional credit in CAS.'"
philosophy,261,Puzzles and Paradoxes,"b""e, using only beliefs that seem uncontroversial, we can conclude that  motion is impossible, that everyone is bald, and it is impossible to give a  surprise exam. Carefully scrutinizing the reasoning that leads to these  absurdities often yields substantial philosophical insight. In this course, we  will examine a number of such puzzles and paradoxes in detail. This course  fulfills a single unit in each of the following BU Hub areas: Philosophical  Inquiry and Life's Meanings, Quantitative Reasoning I, Critical Thinking."""
philosophy,265,Minds and Machines,"b'thought. Explores  the historical and mathematical origins of such efforts, and the psychological and philosophical  assumptions on which they depend. Carries humanities divisional credit in CAS.'"
philosophy,266,"Mind, Brain, and Self","b""s, the  mind, and the brain, the nature of the self or person, and other related  topics. This course will also examine whether and to what extent these issues  can be addressed by contemporary natural science. This course fulfills a single  unit in each of the following BU Hub areas: Philosophical Inquiry and Life's  Meanings, Writing-intensive Course, Critical Thinking."""
philosophy,270,Philosophy of Science,"b's of science, the  nature of scientific understanding, the structure and interpretation of scientific theories, and the  development of science. Carries humanities divisional credit in CAS.'"
philosophy,272,"Science, Technology, and Values","b're  interconnected. Includes case studies of the social and ethical challenges posed by computer, military, and   biological technology. Carries humanities divisional credit in CAS.'"
philosophy,300,History of Ancient Philosophy,b'd Aristotle.'
philosophy,310,History of Modern Philosophy,"b'to Kant, with emphasis on the nature and extent of knowledge. Readings include Descartes, Locke, Spinoza, Berkley, Hume, and Kant.'"
philosophy,340,Metaphysics and Epistemology,"b""elates) and epistemology (the study of knowledge, and how we can know things  about the world) and their intersection. This course fulfills a single unit in  each of the following BU Hub areas: Philosophical Inquiry and Life's Meanings,  Critical Thinking."""
philosophy,350,History of Ethics,"b""t  ethically? How do different eras answer this question? What is the significance  of these differences? This course addresses these questions by examining  classical ethical texts from different historical traditions. This course  fulfills a single unit in each of the following BU Hub areas: Philosophical  Inquiry and Life's Meanings, Ethical Reasoning, Critical Thinking."""
philosophy,360,Symbolic Logic,"b""and invalid  arguments, logical relations of statements and their basis in structural  features of statements, analysis of the logical structure of complex statements  of ordinary discourse, and the use of a symbolic language to display logical  structure and to facilitate methods for assessing the logical structure of  arguments. The course is an introduction to first-order quantificational logic,  a key tool underlying work in foundations of mathematics, philosophy of  language and mind, philosophy of science and parts of syntax. Carries  humanities divisional credit in CAS. This course fulfills a single unit in each  of the following BU Hub areas: Philosophical Inquiry and Life's Meanings,  Quantitative Reasoning I, Critical Thinking."""
philosophy,401,Senior Independent Work,b'.'
philosophy,402,Senior Independent Work,b'.'
philosophy,406,Aristotle II,"b'(i.e., the Nicomachean Ethics and the Politics) and of his philosophy of art in the Poetics, focusing on the nature of human happiness and the good life, the question of the best form of political government, and the function of art for life.'"
philosophy,408,History of Medieval Philosophy,"b'hematic introduction to   mysticism and philosophy, with a focus on dynamics of religious experience. Readings from medieval   Jewish and Islamic philosophy; Sufi mysticism and philosophy; Kabbalah, Biblical interpretation, Sufi   poetry, Hebrew poetry from the Golden Age of Muslim Spain.'"
philosophy,412,Philosophy of the Enlightenment,"b'the  Enlightenment."" Students analyze key texts by Descartes, Hobbes, Locke, Smith, Rousseau, Voltaire,  Diderot, Jefferson, Madison, Kant, and Hegel. Also offered as CAS PO 592 and CAS HI 514.'"
philosophy,413,Kant,b'or more of his works.'
philosophy,415,Nineteenth-Century Philosophy,b'Nietzsche.'
philosophy,418,Marx and Marxism,"b""tudy of Marx's writings stressing  questions of philosophy, political economy, science, and history. Emphasis on Marx's theory of relation of  praxis to consciousness. Later (including contemporary) Marxists and critics. Also offered as CAS PO 498."""
philosophy,422,Analytic Philosophy,b'.'
philosophy,424,Wittgenstein,b'al Investigations.'
philosophy,426,Phenomenology,b'gy in Husserl and Heidegger.'
philosophy,427,Heidegger and Existential Philosophy,"b""rpretation of Husserl's phenomenology, Kant's transcendental philosophy, and ancient Greek philosophy, with an emphasis on the concepts of being, time, and truth."""
philosophy,436,"Gender, Race, and Science","b'f science. Is ""race"" a genuine scientific category or a social construct? How have views about gender and race changed? Why are there still so few women and minority scientists?'"
philosophy,440,Metaphysics,"b'y, time, change, free will,  personal identity, and causation.'"
philosophy,443,Philosophy of Mind,"b'lop a ""neurophenomenological"" approach to consciousness and embodied experience in cognitive science and the philosophy of mind.'"
philosophy,445,The Philosophy of Love,b'ntic love)? Is love non- rational or are there reasons of love? We aim to answer these and other philosophical questions  by focusing on contemporary philosophical writings on love.'
philosophy,452,Ethics of Health Care,"b'e of humanity and the world and to ask fundamental questions concerning the nature of birth, life, and death, and what it is to be a person. Readings from both classical and contemporary writings in ethics, medicine, law, and public health policy.'"
philosophy,453,Theories of Political Society,"b'human nature and reason; qualifications of leadership; aims and means of civic education; and  conceptions of law (man-made, natural, divine). Texts by Aristotle, Augustine, Aquinas,  Machiavelli. Meets with CAS PO 391.'"
philosophy,454,"Community, Liberty, and Morality","b""to  ethics of ancient Greek philosophers such as Plato and Aristotle. Focus on understanding VE's critique of  modern approaches and on evaluating its advocates' positive claims."""
philosophy,456,Topics in Philosophy and Religion,"b""osophy and Religion's fall lecture series on the Concept of the Person. Examples are chosen  from contemporary Western philosophy, the study of religion, and the religious traditions of  Asia. Also offered as CAS RN 397."""
philosophy,458,Crime and Punishment: Philosophical Perspectives,"b', utilitarian, and retributivist justifications of punishment; exculpating circumstances; the death penalty; and the relationship between law and politics. Also offered as CAS PO 497.'"
philosophy,460,Epistemology,"b'nature, scope, sources, and structure of knowledge.'"
philosophy,461,Mathematical Logic,"b""syntax  and semantics of sentential logic and quantificational logic. The unifying  Godel Completeness Theorem, and models of theories. A look at the Godel  Incompleteness Theorem and its ramifications. This course fulfills a single  unit in the following BU Hub area: Philosophical Inquiry and Life's Meanings."""
philosophy,462,Foundations of Mathematics,"b'Choice, the Continuum  Hypothesis, and consistency results. Also offered as CAS MA 532.'"
philosophy,463,Philosophy of Language,"b'foundations of linguistics, including the ideas of logical form and the universality of languages as well as the basic ideas of generative grammar, possible-worlds semantics, Wittgenstein, and speech-act theories.'"
philosophy,465,Philosophy of Cognitive Science,b'f natural and artificial intelligence in light of traditional theory and of recent research in computer science and artificial intelligence.'
philosophy,468,Philosophical Problems of Logic and Mathematics,"b'rious studies in the foundations of mathematics, including the nature of the axiomatic method, completeness in logic and mathematics, and the nature of mathematical truth.'"
philosophy,470,Philosophy of Physics,"b'ries. Elementary particles, the anomalies of quantum mechanics, some modern problems of space and time, and the problem of wholes and parts.'"
philosophy,472,Philosophy of Biology,"b'theory; biological explanation; evolutionary theory, teleology and casuality, statistical explanation; the species problem; mind and the brain; and language in animals and humans.'"
philosophy,480,Topics in Ancient and Medieval Philosophy,b''
philosophy,482,Topics in Modern and Contemporary Philosophy,"b'pring  2016: Disposition, Habit, and Consciousness.'"
philosophy,483,Topics in the Philosophy of Religion,"b'f Evil. A philosophical  and theological analysis of the problem of evil, as formulated in the Bible and other sacred texts, ancient  and modern philosophy, literature, and cinema. Also offered as CAS RN 443.'"
philosophy,485,Topics in Philosophy of Value,b''
philosophy,486,"Topics in Knowledge, Language, and Logic","b""ns of the Turing Machine? What, philosophically, is computation?  We discuss some of  the logico-philosophical aspects of Turing's work and examine foundational issues surrounding  its future extensions and applications. Also offered as CAS CS 591 C2."""
philosophy,487,Topics in the Philosophy of Science,"b'on the topics of  scientific realism, theory change, reductionism, explanation, models, and natural kinds.'"
philosophy,488,Topics in Aesthetics,"b'on to the relationship between aesthetic experience and analytical accounts of the experience; topics include expression, perception, qualities, the good, the ideal, and the sublime.'"
philosophy,491,Directed Study,b'rch on selected topics.'
philosophy,492,Directed Study,b'rch on selected topics.'
